run_number, turns, k_count, g_count
289, 4, 4, 1
290, 5, 4, 0
291, 4, 4, 0
292, 4, 4, 2
293, 4, 4, 1
294, 4, 4, 1
295, 1, 0, 1
296, 3, 3, 0
297, 4, 4, 0
298, 4, 4, 0
299, 4, 4, 0
300, 4, 4, 0
301, 4, 4, 0
302, 4, 4, 0
303, 4, 4, 0
304, 4, 4, 1
305, 1, 0, 1
306, 1, 0, 1
307, 4, 4, 0
308, 5, 4, 1
309, 4, 4, 0
310, 4, 4, 1
311, 4, 4, 1
312, 4, 4, 0
313, 4, 4, 1
314, 4, 4, 1
315, 4, 4, 0
316, 4, 4, 0
317, 4, 4, 0
318, 6, 4, 1
319, 5, 4, 2
320, 4, 4, 0
321, 4, 4, 0
322, 2, 0, 1
323, 4, 4, 0
324, 4, 4, 0
325, 3, 3, 1
326, 4, 4, 0
327, 5, 4, 1
328, 4, 4, 0
329, 3, 3, 0
330, 4, 3, 0
331, 4, 4, 0
332, 4, 4, 0
333, 4, 4, 0
334, 5, 4, 1
335, 4, 4, 0
336, 4, 4, 1
337, 4, 4, 0
338, 5, 5, 2
339, 4, 4, 0
340, 4, 4, 0
341, 4, 4, 2
342, 4, 4, 1
343, 4, 4, 0
344, 4, 4, 0
345, 4, 4, 0
346, 5, 5, 1
347, 4, 4, 1
348, 4, 4, 0
349, 5, 4, 1
350, 4, 4, 1
351, 4, 4, 0
352, 1, 0, 1
353, 3, 0, 1
354, 4, 4, 0
355, 4, 4, 0
356, 4, 4, 0
357, 4, 4, 0
358, 7, 4, 0
359, 4, 4, 1
360, 3, 3, 0
361, 5, 5, 0
362, 4, 4, 0
363, 4, 4, 1
364, 3, 3, 0
365, 4, 4, 1
366, 4, 4, 0
367, 4, 4, 1
368, 3, 0, 1
369, 4, 4, 0
370, 4, 4, 1
371, 4, 4, 0
372, 5, 5, 0
373, 4, 4, 1
374, 6, 5, 2
375, 3, 3, 0
376, 4, 4, 0
377, 4, 4, 0
378, 4, 4, 0
379, 4, 4, 0
380, 3, 0, 1
381, 4, 4, 0
382, 4, 4, 0
383, 4, 4, 0
384, 4, 4, 0
385, 4, 4, 0
386, 4, 4, 0
387, 4, 4, 1
388, 5, 5, 0
389, 4, 4, 0
390, 4, 4, 0
391, 4, 4, 0
392, 4, 4, 1
393, 4, 4, 1
394, 4, 4, 0
395, 2, 0, 1
396, 4, 4, 1
397, 4, 4, 0
398, 4, 4, 0
399, 5, 5, 1
400, 4, 4, 1
401, 4, 4, 1
402, 6, 5, 0
403, 4, 4, 0
404, 5, 5, 2
405, 4, 4, 1
406, 4, 4, 0
407, 4, 4, 0
408, 4, 4, 0
409, 5, 5, 1
410, 4, 4, 1
411, 3, 3, 0
412, 4, 4, 0
413, 4, 4, 0
414, 4, 4, 0
415, 5, 4, 0
416, 4, 4, 1
417, 4, 4, 0
418, 1, 0, 1
419, 1, 0, 1
420, 4, 4, 1
421, 1, 0, 1
422, 2, 0, 1
423, 4, 4, 0
424, 5, 4, 0
425, 3, 3, 0
426, 1, 0, 1
427, 4, 4, 0
428, 4, 4, 0
429, 4, 4, 1
430, 4, 4, 0
431, 4, 4, 1
432, 4, 4, 1
433, 2, 0, 1
434, 4, 4, 0
435, 6, 4, 1
436, 5, 5, 1
437, 3, 3, 0
438, 3, 3, 0
439, 3, 3, 0
440, 5, 4, 0
441, 4, 4, 0
442, 4, 4, 1
443, 1, 0, 1
444, 4, 4, 0
445, 3, 3, 0
446, 4, 4, 0
447, 4, 4, 0
448, 4, 4, 1
449, 4, 4, 1
450, 4, 4, 0
451, 1, 0, 1
452, 6, 5, 2
453, 3, 3, 1
454, 4, 4, 1
455, 4, 4, 1
456, 4, 4, 0
457, 4, 4, 1
458, 3, 3, 0
459, 5, 5, 0
460, 2, 0, 1
461, 4, 4, 1
462, 4, 4, 0
463, 1, 0, 1
464, 4, 4, 0
465, 4, 4, 1
466, 4, 4, 0
467, 5, 4, 1
468, 4, 4, 0
469, 5, 4, 0
470, 5, 5, 1
471, 4, 4, 0
472, 5, 4, 0
473, 4, 4, 0
474, 4, 4, 1
475, 4, 4, 0
476, 4, 4, 1
477, 3, 3, 0
478, 4, 4, 0
479, 4, 4, 1
480, 4, 4, 1
481, 4, 4, 0
482, 1, 0, 1
483, 4, 4, 0
484, 4, 4, 1
485, 6, 4, 0
486, 4, 4, 0
487, 4, 4, 0
488, 1, 0, 1
489, 4, 4, 1
490, 4, 4, 0
491, 4, 4, 0
492, 1, 0, 1
493, 4, 4, 1
494, 5, 5, 1
495, 4, 4, 0
496, 5, 4, 0
497, 4, 4, 0
498, 4, 3, 0
499, 4, 4, 0
500, 4, 4, 1
501, 6, 4, 0
502, 6, 4, 1
503, 4, 4, 0
504, 1, 0, 1
505, 4, 4, 1
506, 4, 4, 0
507, 5, 4, 1
508, 5, 5, 1
509, 1, 0, 1
510, 4, 4, 0
511, 4, 4, 1
512, 5, 4, 0
513, 4, 4, 0
514, 4, 4, 1
515, 4, 4, 0
516, 5, 4, 2
517, 1, 0, 1
518, 3, 3, 0
519, 4, 3, 0
520, 4, 4, 1
521, 4, 4, 0
522, 4, 4, 0
523, 1, 0, 1
524, 5, 5, 3
525, 4, 4, 1
526, 1, 0, 1
527, 4, 4, 0
528, 4, 4, 0
529, 3, 3, 0
530, 4, 4, 0
531, 6, 4, 1
532, 4, 4, 0
533, 4, 4, 0
534, 5, 5, 0
535, 4, 4, 0
536, 4, 4, 0
537, 5, 4, 0
538, 4, 4, 1
539, 2, 0, 1
540, 5, 5, 0
541, 4, 4, 0
542, 4, 4, 0
543, 4, 4, 0
544, 4, 4, 0
545, 4, 4, 0
546, 4, 4, 1
547, 4, 4, 1
548, 1, 0, 1
549, 6, 4, 1
550, 4, 4, 0
551, 6, 4, 1
552, 4, 4, 0
553, 5, 5, 1
554, 4, 4, 0
555, 3, 3, 0
556, 4, 4, 0
557, 4, 4, 0
558, 4, 4, 1
559, 4, 4, 1
560, 4, 4, 0
561, 4, 4, 0
562, 4, 4, 0
563, 6, 4, 0
564, 4, 4, 0
565, 5, 4, 0
566, 5, 4, 0
567, 1, 0, 1
568, 4, 4, 1
569, 4, 4, 0
570, 4, 4, 0
571, 2, 0, 1
572, 4, 4, 1
573, 4, 4, 0
574, 3, 3, 0
575, 5, 5, 0
576, 5, 5, 1
